date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:40:51	255615/255615	---M-Z	200	added ('OK')	text/html	etag:W/%22139344cf1e5c464005f3c308874e94a8%22	https://www.lehibakery.com/cupcakes	~/Develop/lehibakery/www.lehibakery.com/cupcakes.html	(from https://www.lehibakery.com/)
16:40:52	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=nfj5ylukc0inafnzmxxv81um1snhx0	~/Develop/lehibakery/www.lehibakery.com/custom-work0873.html	(from https://www.lehibakery.com/custom-work)
16:40:53	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=pruhm5i175fvr80oyimyu483ab9och	~/Develop/lehibakery/www.lehibakery.com/custom-workf2fe.html	(from https://www.lehibakery.com/custom-work)
16:40:54	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=z47egfy019o62crhigdqe0red7hra5	~/Develop/lehibakery/www.lehibakery.com/custom-workb721.html	(from https://www.lehibakery.com/custom-work)
16:40:55	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=o022fa2dwfgs2el1hwzi45s626im89	~/Develop/lehibakery/www.lehibakery.com/custom-work258d.html	(from https://www.lehibakery.com/custom-work)
16:40:56	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=80lw7v6ch7i908rqogdrw5xk7irzc7	~/Develop/lehibakery/www.lehibakery.com/custom-work3235.html	(from https://www.lehibakery.com/custom-work)
16:40:57	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=ju34m3qet4sffsby095c09bvuvhwdi	~/Develop/lehibakery/www.lehibakery.com/custom-work4d60.html	(from https://www.lehibakery.com/custom-work)
16:40:58	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=xcqty87s4n7uorvg7ti4o1zful6klg	~/Develop/lehibakery/www.lehibakery.com/custom-work7eb6.html	(from https://www.lehibakery.com/custom-work)
16:40:59	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=ruqkdbmqj7dlg892n5eqvw03g5x0ht	~/Develop/lehibakery/www.lehibakery.com/custom-work0055.html	(from https://www.lehibakery.com/custom-work)
16:41:00	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=d02592fkl0dur91ece0d8qyoy32cl6	~/Develop/lehibakery/www.lehibakery.com/custom-work5a09.html	(from https://www.lehibakery.com/custom-work)
16:41:01	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=qa4441lhe2cuikqff1e3ivoe6xxw3y	~/Develop/lehibakery/www.lehibakery.com/custom-workb2db.html	(from https://www.lehibakery.com/custom-work)
16:41:02	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=1fbi1h42j00lxm6h4h8pqzjriuucg6	~/Develop/lehibakery/www.lehibakery.com/custom-work9e66.html	(from https://www.lehibakery.com/custom-work)
16:41:03	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=tp7lu923czyplr3q7csvnhl948ssyt	~/Develop/lehibakery/www.lehibakery.com/custom-workf238.html	(from https://www.lehibakery.com/custom-work)
16:41:04	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=yz0su5croa4zogw4wvzy9hqiev5q79	~/Develop/lehibakery/www.lehibakery.com/custom-work41f0.html	(from https://www.lehibakery.com/custom-work)
16:41:05	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=bf3q6whxnp50y7njircbaufcsc17th	~/Develop/lehibakery/www.lehibakery.com/custom-workbe4d.html	(from https://www.lehibakery.com/custom-work)
16:41:06	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0--gzip%22	https://www.lehibakery.com/custom-work?itemId=1dok0fen2ionqxiwk96slm89zrb2dx	~/Develop/lehibakery/www.lehibakery.com/custom-work23ab.html	(from https://www.lehibakery.com/custom-work)
16:41:07	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=679helkbgv4y76ad9t1fi247u72j51	~/Develop/lehibakery/www.lehibakery.com/custom-work07a9.html	(from https://www.lehibakery.com/custom-work)
16:41:08	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=in1mlbzwmzufjmpre5p3j77k8endh1	~/Develop/lehibakery/www.lehibakery.com/custom-work5ea1.html	(from https://www.lehibakery.com/custom-work)
16:41:09	297164/297164	---M-Z	200	added ('OK')	text/html	etag:W/%2209770272b9194026afe69990bb1a1bc0%22	https://www.lehibakery.com/custom-work?itemId=9lcgjxah582oc849mujanu4xj2eojq	~/Develop/lehibakery/www.lehibakery.com/custom-workd296.html	(from https://www.lehibakery.com/custom-work)
